483.0±302.187,503.667±363.42,671.134±368.285,736.237±377.335,0.06±0.276,0.16±0.504,0.15±0.433,0.25±0.638,0.01±0.099,0.01±0.099,0.03±0.171,0.07±0.255
342.357±236.667,386.02±258.744,432.378±245.76,572.667±350.881,0.03±0.171,0.11±0.371,0.16±0.484,0.26±0.626,0.02±0.14,0.02±0.14,0.02±0.14,0.01±0.099
591.79±359.435,592.382±437.174,834.115±431.762,779.616±383.266,0.08±0.306,0.08±0.306,0.19±0.595,0.27±0.676,0.0±0.0,0.11±0.313,0.13±0.336,0.14±0.347
604.794±377.592,600.0±448.616,769.25±351.233,773.093±371.577,0.12±0.453,0.11±0.422,0.15±0.477,0.32±0.76,0.03±0.171,0.12±0.325,0.12±0.325,0.14±0.347
483.0±302.187,503.667±363.42,671.134±368.285,736.237±377.335,0.06±0.276,0.16±0.504,0.15±0.433,0.25±0.638,0.01±0.099,0.01±0.099,0.03±0.171,0.07±0.255
497.778±289.019,503.878±341.302,679.072±343.342,788.281±403.823,0.07±0.354,0.03±0.171,0.22±0.672,0.32±0.847,0.01±0.099,0.02±0.14,0.03±0.171,0.11±0.313
557.91±323.608,643.021±447.311,791.537±406.034,842.961±370.594,0.06±0.276,0.07±0.255,0.18±0.477,0.34±0.886,0.0±0.0,0.05±0.218,0.18±0.384,0.24±0.427
531.889±384.745,450.237±311.561,621.319±363.76,654.742±375.715,0.08±0.271,0.12±0.571,0.13±0.416,0.26±0.577,0.1±0.3,0.07±0.255,0.06±0.237,0.07±0.255
425.341±296.86,422.958±287.477,540.406±358.48,584.129±307.164,0.09±0.402,0.11±0.397,0.16±0.504,0.22±0.558,0.09±0.286,0.04±0.196,0.04±0.196,0.07±0.255
624.447±436.378,510.824±329.121,714.237±393.746,707.788±370.284,0.1±0.3,0.14±0.49,0.18±0.498,0.31±0.717,0.15±0.357,0.15±0.357,0.07±0.255,0.15±0.357
357.484±260.799,380.745±248.888,444.444±251.929,551.556±340.546,0.06±0.341,0.11±0.397,0.16±0.463,0.25±0.638,0.05±0.218,0.02±0.14,0.01±0.099,0.01±0.099
353.694±271.962,383.663±252.958,411.837±213.652,555.061±357.119,0.04±0.314,0.14±0.4,0.16±0.484,0.4±0.894,0.02±0.14,0.02±0.14,0.02±0.14,0.02±0.14
561.978±389.585,457.215±275.789,696.354±427.866,732.138±394.41,0.06±0.341,0.05±0.26,0.15±0.477,0.19±0.484,0.11±0.313,0.07±0.255,0.04±0.196,0.06±0.237
666.138±412.166,629.375±435.039,783.313±445.393,837.605±398.121,0.06±0.237,0.1±0.387,0.19±0.56,0.3±0.624,0.06±0.237,0.12±0.325,0.17±0.376,0.24±0.427
411.211±316.979,438.888±321.089,521.897±312.164,651.587±362.855,0.05±0.328,0.06±0.237,0.15±0.497,0.31±0.88,0.05±0.218,0.02±0.14,0.03±0.171,0.08±0.271
460.637±362.116,460.653±309.783,633.184±414.149,721.413±407.327,0.05±0.328,0.02±0.14,0.19±0.523,0.3±0.755,0.09±0.286,0.05±0.218,0.02±0.14,0.08±0.271
