373.458±194.37,484.158±310.305,596.798±387.422,709.267±464.94,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.04±0.196,0.05±0.218,0.16±0.367,0.14±0.347
296.0±145.672,342.918±222.592,404.889±302.892,445.6±340.293,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.04±0.196,0.02±0.14,0.01±0.099,0.0±0.0
435.978±255.768,534.333±343.31,662.143±446.338,693.523±445.252,0.0±0.0,0.0±0.0,0.03±0.171,0.0±0.0,0.09±0.286,0.25±0.433,0.37±0.483,0.35±0.477
445.701±298.396,519.08±323.844,660.746±443.696,706.046±454.171,0.0±0.0,0.01±0.099,0.02±0.14,0.0±0.0,0.13±0.336,0.25±0.433,0.37±0.483,0.35±0.477
373.458±194.37,484.158±310.305,596.798±387.422,709.267±464.94,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.04±0.196,0.05±0.218,0.16±0.367,0.14±0.347
402.333±243.582,535.105±380.235,695.405±415.837,851.232±473.303,0.0±0.0,0.0±0.0,0.01±0.099,0.0±0.0,0.04±0.196,0.05±0.218,0.16±0.367,0.18±0.384
475.126±330.296,658.29±404.136,847.512±443.805,995.513±431.97,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.05±0.218,0.07±0.255,0.2±0.4,0.24±0.427
375.367±238.832,518.908±424.892,533.519±427.333,634.8±453.663,0.0±0.0,0.01±0.099,0.0±0.0,0.0±0.0,0.21±0.407,0.13±0.336,0.19±0.392,0.15±0.357
352.31±258.131,385.554±295.19,465.835±389.159,507.391±409.23,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.16±0.367,0.08±0.271,0.09±0.286,0.08±0.271
491.643±415.403,552.667±389.574,562.299±429.963,638.667±453.276,0.02±0.14,0.01±0.099,0.0±0.0,0.02±0.14,0.3±0.458,0.31±0.462,0.33±0.47,0.34±0.474
281.253±124.986,306.773±176.982,373.667±300.129,405.78±322.343,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.09±0.286,0.03±0.171,0.01±0.099,0.0±0.0
284.768±135.203,302.847±189.32,329.444±264.3,408.86±333.776,0.0±0.0,0.0±0.0,0.01±0.099,0.0±0.0,0.05±0.218,0.02±0.14,0.01±0.099,0.0±0.0
401.976±277.066,545.207±450.711,633.101±461.632,784.976±481.761,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.18±0.384,0.13±0.336,0.21±0.407,0.16±0.367
453.063±340.476,665.684±477.589,798.901±491.159,938.873±437.58,0.0±0.0,0.0±0.0,0.0±0.0,0.01±0.099,0.21±0.407,0.21±0.407,0.29±0.454,0.21±0.407
323.867±199.934,380.857±282.682,457.92±355.676,508.52±395.798,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.1±0.3,0.02±0.14,0.0±0.0,0.0±0.0
364.276±244.067,442.438±326.449,554.011±423.484,631.734±450.974,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.13±0.336,0.04±0.196,0.1±0.3,0.06±0.237
