336.104±222.603,342.843±280.4,386.023±259.084,395.388±297.77,0.0±0.0,0.0±0.0,0.02±0.199,0.0±0.0,0.04±0.196,0.11±0.313,0.13±0.336,0.15±0.357
275.755±163.277,260.75±210.763,282.703±144.167,262.645±148.857,0.01±0.099,0.0±0.0,0.01±0.099,0.0±0.0,0.06±0.237,0.12±0.325,0.09±0.286,0.07±0.255
392.945±284.326,475.899±425.517,463.75±333.484,608.667±534.183,0.01±0.099,0.0±0.0,0.01±0.099,0.01±0.099,0.09±0.286,0.21±0.407,0.28±0.449,0.34±0.474
401.828±307.635,413.04±394.554,432.597±272.954,569.403±522.653,0.01±0.099,0.0±0.0,0.02±0.14,0.0±0.0,0.13±0.336,0.25±0.433,0.33±0.47,0.38±0.485
336.104±222.603,342.843±280.4,386.023±259.084,395.388±297.77,0.0±0.0,0.0±0.0,0.02±0.199,0.0±0.0,0.04±0.196,0.11±0.313,0.13±0.336,0.15±0.357
338.281±223.272,331.75±230.68,396.138±271.224,407.407±314.15,0.0±0.0,0.0±0.0,0.02±0.14,0.0±0.0,0.04±0.196,0.12±0.325,0.13±0.336,0.14±0.347
364.406±243.755,361.396±279.883,406.25±273.677,432.506±320.712,0.01±0.099,0.0±0.0,0.0±0.0,0.01±0.099,0.04±0.196,0.09±0.286,0.12±0.325,0.17±0.376
385.158±313.074,343.721±329.193,395.611±279.425,414.422±333.112,0.0±0.0,0.01±0.099,0.01±0.099,0.0±0.0,0.24±0.427,0.32±0.466,0.28±0.449,0.36±0.48
330.193±227.198,266.481±122.623,365.488±229.891,333.617±215.81,0.01±0.099,0.01±0.099,0.02±0.14,0.0±0.0,0.17±0.376,0.21±0.407,0.18±0.384,0.19±0.392
464.119±365.871,467.482±454.854,475.117±313.446,530.816±505.241,0.01±0.099,0.01±0.099,0.03±0.171,0.01±0.099,0.33±0.47,0.44±0.496,0.4±0.49,0.51±0.5
288.264±199.062,254.558±189.813,316.862±203.788,267.231±155.134,0.01±0.099,0.0±0.0,0.0±0.0,0.0±0.0,0.09±0.286,0.14±0.347,0.13±0.336,0.09±0.286
278.863±166.836,257.0±192.792,285.717±145.225,249.871±132.19,0.01±0.099,0.0±0.0,0.01±0.099,0.0±0.0,0.05±0.218,0.12±0.325,0.08±0.271,0.07±0.255
398.763±331.062,351.821±344.005,404.931±277.622,397.444±297.426,0.0±0.0,0.01±0.099,0.03±0.222,0.0±0.0,0.24±0.427,0.33±0.47,0.28±0.449,0.37±0.483
415.19±328.583,357.757±295.069,411.194±275.586,450.367±328.591,0.0±0.0,0.0±0.0,0.0±0.0,0.01±0.099,0.21±0.407,0.3±0.458,0.28±0.449,0.4±0.49
342.567±305.026,270.157±222.729,340.786±238.841,316.517±250.541,0.01±0.099,0.0±0.0,0.01±0.099,0.0±0.0,0.1±0.3,0.17±0.376,0.16±0.367,0.11±0.313
349.429±263.285,289.4±217.515,368.383±236.486,337.963±216.765,0.01±0.099,0.01±0.099,0.02±0.199,0.0±0.0,0.16±0.367,0.2±0.4,0.19±0.392,0.19±0.392
