483.0±302.,503.667±36,671.134±36,736.237±37,0.06±0.276,0.16±0.504,0.15±0.433,0.25±0.638,0.01±0.099,0.01±0.099,0.03±0.171,0.07±0.255
342.357±23,386.02±258,432.378±24,572.667±35,0.03±0.171,0.11±0.371,0.16±0.484,0.26±0.626,0.02±0.14,0.02±0.14,0.02±0.14,0.01±0.099
591.79±359,592.382±43,834.115±43,779.616±38,0.08±0.306,0.08±0.306,0.19±0.595,0.27±0.676,0.0±0.0,0.11±0.313,0.13±0.336,0.14±0.347
604.794±37,600.0±448.,769.25±351,773.093±37,0.12±0.453,0.11±0.422,0.15±0.477,0.32±0.76,0.03±0.171,0.12±0.325,0.12±0.325,0.14±0.347
483.0±302.,503.667±36,671.134±36,736.237±37,0.06±0.276,0.16±0.504,0.15±0.433,0.25±0.638,0.01±0.099,0.01±0.099,0.03±0.171,0.07±0.255
497.778±28,503.878±34,679.072±34,788.281±40,0.07±0.354,0.03±0.171,0.22±0.672,0.32±0.847,0.01±0.099,0.02±0.14,0.03±0.171,0.11±0.313
557.91±323,643.021±44,791.537±40,842.961±37,0.06±0.276,0.07±0.255,0.18±0.477,0.34±0.886,0.0±0.0,0.05±0.218,0.18±0.384,0.24±0.427
531.889±38,450.237±31,621.319±36,654.742±37,0.08±0.271,0.12±0.571,0.13±0.416,0.26±0.577,0.1±0.3,0.07±0.255,0.06±0.237,0.07±0.255
425.341±29,422.958±28,540.406±35,584.129±30,0.09±0.402,0.11±0.397,0.16±0.504,0.22±0.558,0.09±0.286,0.04±0.196,0.04±0.196,0.07±0.255
624.447±43,510.824±32,714.237±39,707.788±37,0.1±0.3,0.14±0.49,0.18±0.498,0.31±0.717,0.15±0.357,0.15±0.357,0.07±0.255,0.15±0.357
357.484±26,380.745±24,444.444±25,551.556±34,0.06±0.341,0.11±0.397,0.16±0.463,0.25±0.638,0.05±0.218,0.02±0.14,0.01±0.099,0.01±0.099
353.694±27,383.663±25,411.837±21,555.061±35,0.04±0.314,0.14±0.4,0.16±0.484,0.4±0.894,0.02±0.14,0.02±0.14,0.02±0.14,0.02±0.14
561.978±38,457.215±27,696.354±42,732.138±39,0.06±0.341,0.05±0.26,0.15±0.477,0.19±0.484,0.11±0.313,0.07±0.255,0.04±0.196,0.06±0.237
666.138±41,629.375±43,783.313±44,837.605±39,0.06±0.237,0.1±0.387,0.19±0.56,0.3±0.624,0.06±0.237,0.12±0.325,0.17±0.376,0.24±0.427
