373.458±19,484.158±31,596.798±38,709.267±46,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.04±0.196,0.05±0.218,0.16±0.367,0.14±0.347
296.0±145.,342.918±22,404.889±30,445.6±340.,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.04±0.196,0.02±0.14,0.01±0.099,0.0±0.0
435.978±25,534.333±34,662.143±44,693.523±44,0.0±0.0,0.0±0.0,0.03±0.171,0.0±0.0,0.09±0.286,0.25±0.433,0.37±0.483,0.35±0.477
445.701±29,519.08±323,660.746±44,706.046±45,0.0±0.0,0.01±0.099,0.02±0.14,0.0±0.0,0.13±0.336,0.25±0.433,0.37±0.483,0.35±0.477
373.458±19,484.158±31,596.798±38,709.267±46,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.04±0.196,0.05±0.218,0.16±0.367,0.14±0.347
402.333±24,535.105±38,695.405±41,851.232±47,0.0±0.0,0.0±0.0,0.01±0.099,0.0±0.0,0.04±0.196,0.05±0.218,0.16±0.367,0.18±0.384
475.126±33,658.29±404,847.512±44,995.513±43,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.05±0.218,0.07±0.255,0.2±0.4,0.24±0.427
375.367±23,518.908±42,533.519±42,634.8±453.,0.0±0.0,0.01±0.099,0.0±0.0,0.0±0.0,0.21±0.407,0.13±0.336,0.19±0.392,0.15±0.357
352.31±258,385.554±29,465.835±38,507.391±40,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.16±0.367,0.08±0.271,0.09±0.286,0.08±0.271
491.643±41,552.667±38,562.299±42,638.667±45,0.02±0.14,0.01±0.099,0.0±0.0,0.02±0.14,0.3±0.458,0.31±0.462,0.33±0.47,0.34±0.474
281.253±12,306.773±17,373.667±30,405.78±322,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.09±0.286,0.03±0.171,0.01±0.099,0.0±0.0
284.768±13,302.847±18,329.444±26,408.86±333,0.0±0.0,0.0±0.0,0.01±0.099,0.0±0.0,0.05±0.218,0.02±0.14,0.01±0.099,0.0±0.0
401.976±27,545.207±45,633.101±46,784.976±48,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.18±0.384,0.13±0.336,0.21±0.407,0.16±0.367
453.063±34,665.684±47,798.901±49,938.873±43,0.0±0.0,0.0±0.0,0.0±0.0,0.01±0.099,0.21±0.407,0.21±0.407,0.29±0.454,0.21±0.407
