336.104±22,342.843±28,386.023±25,395.388±29,0.0±0.0,0.0±0.0,0.02±0.199,0.0±0.0,0.04±0.196,0.11±0.313,0.13±0.336,0.15±0.357
275.755±16,260.75±210,282.703±14,262.645±14,0.01±0.099,0.0±0.0,0.01±0.099,0.0±0.0,0.06±0.237,0.12±0.325,0.09±0.286,0.07±0.255
392.945±28,475.899±42,463.75±333,608.667±53,0.01±0.099,0.0±0.0,0.01±0.099,0.01±0.099,0.09±0.286,0.21±0.407,0.28±0.449,0.34±0.474
401.828±30,413.04±394,432.597±27,569.403±52,0.01±0.099,0.0±0.0,0.02±0.14,0.0±0.0,0.13±0.336,0.25±0.433,0.33±0.47,0.38±0.485
336.104±22,342.843±28,386.023±25,395.388±29,0.0±0.0,0.0±0.0,0.02±0.199,0.0±0.0,0.04±0.196,0.11±0.313,0.13±0.336,0.15±0.357
338.281±22,331.75±230,396.138±27,407.407±31,0.0±0.0,0.0±0.0,0.02±0.14,0.0±0.0,0.04±0.196,0.12±0.325,0.13±0.336,0.14±0.347
364.406±24,361.396±27,406.25±273,432.506±32,0.01±0.099,0.0±0.0,0.0±0.0,0.01±0.099,0.04±0.196,0.09±0.286,0.12±0.325,0.17±0.376
385.158±31,343.721±32,395.611±27,414.422±33,0.0±0.0,0.01±0.099,0.01±0.099,0.0±0.0,0.24±0.427,0.32±0.466,0.28±0.449,0.36±0.48
330.193±22,266.481±12,365.488±22,333.617±21,0.01±0.099,0.01±0.099,0.02±0.14,0.0±0.0,0.17±0.376,0.21±0.407,0.18±0.384,0.19±0.392
464.119±36,467.482±45,475.117±31,530.816±50,0.01±0.099,0.01±0.099,0.03±0.171,0.01±0.099,0.33±0.47,0.44±0.496,0.4±0.49,0.51±0.5
288.264±19,254.558±18,316.862±20,267.231±15,0.01±0.099,0.0±0.0,0.0±0.0,0.0±0.0,0.09±0.286,0.14±0.347,0.13±0.336,0.09±0.286
278.863±16,257.0±192.,285.717±14,249.871±13,0.01±0.099,0.0±0.0,0.01±0.099,0.0±0.0,0.05±0.218,0.12±0.325,0.08±0.271,0.07±0.255
398.763±33,351.821±34,404.931±27,397.444±29,0.0±0.0,0.01±0.099,0.03±0.222,0.0±0.0,0.24±0.427,0.33±0.47,0.28±0.449,0.37±0.483
415.19±328,357.757±29,411.194±27,450.367±32,0.0±0.0,0.0±0.0,0.0±0.0,0.01±0.099,0.21±0.407,0.3±0.458,0.28±0.449,0.4±0.49
