412.691±193.84,514.57±261.604,582.561±305.559,686.156±377.942,754.84±394.996,776.25±445.861,0.35±0.589,0.56±0.791,0.71±1.061,1.17±1.32,1.49±1.539,1.81±1.521,0.03±0.171,0.0±0.0,0.02±0.14,0.04±0.196,0.06±0.237,0.12±0.325
440.21±195.453,553.29±276.255,616.833±326.327,785.905±418.295,881.322±388.717,927.659±449.574,0.1±0.332,0.24±0.585,0.64±1.315,0.78±1.383,1.01±1.446,1.61±1.849,0.0±0.0,0.0±0.0,0.04±0.196,0.05±0.218,0.1±0.3,0.15±0.357
393.35±130.89,481.35±246.412,526.444±270.582,674.99±333.729,806.849±351.613,805.709±402.818,0.27±0.526,0.5±0.794,0.77±1.165,1.46±1.763,2.26±2.579,2.56±2.609,0.0±0.0,0.0±0.0,0.01±0.099,0.03±0.171,0.07±0.255,0.14±0.347
454.469±301.011,446.411±248.356,453.896±267.373,508.255±267.753,508.16±282.903,670.926±411.024,0.44±0.683,0.7±1.082,1.13±1.376,1.61±1.714,2.17±2.088,3.01±2.655,0.04±0.196,0.05±0.218,0.04±0.196,0.02±0.14,0.06±0.237,0.05±0.218
511.691±329.544,534.371±303.909,557.191±322.635,634.777±289.572,737.315±375.498,900.353±478.3,0.19±0.578,0.32±0.676,0.61±1.224,0.79±1.344,1.0±1.456,1.75±2.188,0.03±0.171,0.03±0.171,0.06±0.237,0.06±0.237,0.08±0.271,0.15±0.357
416.34±161.493,520.714±230.336,601.392±294.487,740.213±397.778,803.73±427.77,863.125±448.327,0.11±0.422,0.2±0.51,0.35±0.74,0.73±1.047,0.99±1.187,1.13±1.405,0.0±0.0,0.02±0.14,0.03±0.171,0.06±0.237,0.11±0.313,0.12±0.325
385.54±136.498,436.47±201.302,445.82±205.083,486.667±229.191,602.57±358.13,676.484±372.415,0.12±0.475,0.18±0.498,0.41±0.814,0.73±1.085,0.7±0.933,0.91±1.176,0.0±0.0,0.0±0.0,0.0±0.0,0.01±0.099,0.0±0.0,0.05±0.218
386.97±141.647,408.2±152.071,418.43±201.799,433.28±173.322,504.56±287.843,477.17±220.908,0.1±0.361,0.28±0.634,0.41±0.838,0.61±0.915,0.74±0.966,0.9±1.082,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0
513.222±256.368,527.778±282.12,537.773±291.807,584.223±300.081,653.38±410.621,619.473±363.916,0.02±0.14,0.1±0.387,0.3±0.714,0.47±0.78,0.67±1.04,1.02±1.191,0.01±0.099,0.01±0.099,0.03±0.171,0.06±0.237,0.08±0.271,0.09±0.286
474.918±235.361,506.778±268.798,579.111±328.525,601.161±332.83,727.839±383.783,777.186±427.295,0.2±0.787,0.24±0.723,0.65±1.228,0.55±0.963,0.93±1.458,1.46±1.734,0.02±0.14,0.01±0.099,0.01±0.099,0.07±0.255,0.07±0.255,0.14±0.347
755.28±446.536,716.683±447.431,716.426±395.374,760.648±421.273,732.595±379.365,591.935±300.539,0.05±0.328,0.15±0.497,0.44±0.973,0.53±1.081,0.82±1.445,1.24±1.75,0.07±0.255,0.18±0.384,0.32±0.466,0.46±0.498,0.58±0.494,0.69±0.462
370.91±113.665,375.2±124.295,377.84±125.075,436.222±216.129,404.753±214.586,457.556±240.504,0.05±0.218,0.05±0.218,0.18±0.409,0.41±0.75,0.48±0.728,0.6±0.927,0.0±0.0,0.0±0.0,0.0±0.0,0.01±0.099,0.03±0.171,0.01±0.099
