453.552±231.019,472.556±206.984,528.134±256.355,554.383±309.134,577.625±298.678,640.616±383.467,0.15±0.433,0.21±0.431,0.19±0.417,0.46±0.684,0.5±0.768,0.64±0.781,0.04±0.196,0.01±0.099,0.03±0.171,0.06±0.237,0.12±0.325,0.27±0.444
466.72±227.673,524.643±253.074,595.432±306.188,596.385±328.966,699.464±388.672,736.153±418.315,0.05±0.218,0.09±0.349,0.06±0.237,0.09±0.319,0.17±0.401,0.3±0.624,0.0±0.0,0.02±0.14,0.05±0.218,0.09±0.286,0.16±0.367,0.28±0.449
449.78±206.484,495.235±243.844,540.835±264.261,560.0±304.011,614.125±338.402,728.014±410.773,0.11±0.313,0.14±0.347,0.21±0.496,0.42±0.695,0.51±0.742,0.77±1.182,0.0±0.0,0.02±0.14,0.03±0.171,0.08±0.271,0.12±0.325,0.27±0.444
498.805±294.216,508.937±307.059,551.875±364.435,470.308±209.625,568.148±346.158,635.449±380.153,0.19±0.417,0.36±0.641,0.55±0.753,0.81±0.771,0.89±0.859,1.18±1.144,0.13±0.336,0.05±0.218,0.12±0.325,0.09±0.286,0.19±0.392,0.22±0.414
491.671±255.121,527.579±284.519,606.908±405.847,558.044±281.478,648.987±387.026,686.203±372.779,0.03±0.171,0.09±0.349,0.06±0.369,0.11±0.422,0.19±0.44,0.25±0.589,0.15±0.357,0.05±0.218,0.13±0.336,0.1±0.3,0.22±0.414,0.26±0.439
441.64±155.198,501.408±222.043,579.755±308.597,554.617±232.985,640.826±340.759,715.338±370.031,0.05±0.218,0.06±0.237,0.02±0.14,0.09±0.319,0.17±0.47,0.3±0.608,0.0±0.0,0.02±0.14,0.02±0.14,0.06±0.237,0.08±0.271,0.26±0.439
413.15±130.538,455.06±174.692,491.643±219.912,459.222±154.781,536.299±213.703,637.978±336.27,0.06±0.276,0.05±0.26,0.02±0.199,0.06±0.276,0.11±0.371,0.2±0.548,0.0±0.0,0.0±0.0,0.02±0.14,0.01±0.099,0.03±0.171,0.1±0.3
376.74±119.331,388.18±118.451,403.58±154.138,455.39±179.745,452.09±158.642,468.7±164.982,0.07±0.324,0.03±0.222,0.02±0.14,0.15±0.456,0.21±0.496,0.19±0.504,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0
588.333±281.047,730.0±382.585,799.392±373.355,841.173±344.495,878.763±403.067,920.8±399.802,0.03±0.222,0.02±0.199,0.04±0.196,0.14±0.375,0.28±0.584,0.44±0.683,0.01±0.099,0.01±0.099,0.03±0.171,0.02±0.14,0.07±0.255,0.15±0.357
531.73±288.717,584.42±271.709,662.255±277.272,729.082±281.198,812.888±384.905,866.596±346.413,0.03±0.171,0.07±0.292,0.1±0.332,0.1±0.332,0.12±0.354,0.31±0.628,0.0±0.0,0.0±0.0,0.02±0.14,0.03±0.171,0.02±0.14,0.06±0.237
808.341±379.934,989.278±425.679,972.5±379.113,1044.524±396.249,1031.962±448.664,1111.692±429.521,0.05±0.26,0.04±0.242,0.04±0.242,0.03±0.171,0.11±0.343,0.11±0.371,0.15±0.357,0.21±0.407,0.3±0.458,0.37±0.483,0.47±0.499,0.61±0.488
376.74±105.66,382.79±133.44,410.62±149.561,433.39±151.437,442.41±171.047,455.06±173.308,0.02±0.14,0.07±0.292,0.06±0.237,0.07±0.255,0.2±0.51,0.19±0.417,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0
