421.447±220.493,506.571±258.771,492.362±273.05,547.59±333.946,637.524±423.326,640.143±373.351,0.09±0.349,0.14±0.425,0.24±0.512,0.26±0.658,0.34±0.696,0.52±0.889,0.06±0.237,0.16±0.367,0.06±0.237,0.22±0.414,0.37±0.483,0.44±0.496
431.592±226.541,536.146±305.506,530.242±338.211,579.388±360.652,671.618±405.845,652.939±361.285,0.04±0.242,0.11±0.343,0.11±0.371,0.1±0.387,0.28±0.708,0.4±1.149,0.02±0.14,0.11±0.313,0.05±0.218,0.2±0.4,0.32±0.466,0.51±0.5
421.62±223.71,489.701±260.422,483.579±277.489,569.329±370.92,627.375±395.3,603.421±314.826,0.06±0.237,0.1±0.332,0.21±0.535,0.29±0.621,0.33±0.617,0.47±0.806,0.0±0.0,0.13±0.336,0.05±0.218,0.21±0.407,0.36±0.48,0.43±0.495
438.876±228.414,561.571±372.344,486.899±301.745,503.915±316.59,576.704±384.667,497.173±282.606,0.18±0.433,0.4±0.6,0.45±0.817,0.67±1.096,0.53±0.741,0.81±0.945,0.11±0.313,0.23±0.421,0.21±0.407,0.29±0.454,0.46±0.498,0.48±0.5
473.934±260.173,572.055±374.559,502.507±290.475,579.735±386.313,578.26±337.946,631.612±365.242,0.07±0.324,0.17±0.567,0.16±0.441,0.22±0.756,0.23±0.598,0.32±0.646,0.09±0.286,0.27±0.444,0.25±0.433,0.32±0.466,0.5±0.5,0.51±0.5
377.423±106.505,528.919±329.642,508.43±324.132,611.241±333.715,679.881±463.483,639.123±388.66,0.03±0.222,0.04±0.196,0.07±0.255,0.15±0.497,0.21±0.496,0.2±0.49,0.03±0.171,0.14±0.347,0.07±0.255,0.21±0.407,0.41±0.492,0.43±0.495
380.333±122.491,450.351±246.148,463.245±257.743,490.295±226.665,613.778±398.708,588.417±335.795,0.01±0.099,0.05±0.26,0.06±0.237,0.12±0.431,0.23±0.63,0.22±0.558,0.01±0.099,0.06±0.237,0.02±0.14,0.05±0.218,0.1±0.3,0.16±0.367
362.444±113.961,386.778±149.14,385.98±128.511,437.02±159.772,427.67±149.02,446.15±150.988,0.01±0.099,0.11±0.343,0.1±0.361,0.15±0.384,0.25±0.589,0.34±0.651,0.01±0.099,0.01±0.099,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0
506.889±283.455,546.0±264.157,582.556±345.281,639.2±341.06,626.561±342.342,749.778±389.557,0.0±0.0,0.05±0.218,0.16±0.393,0.13±0.391,0.36±0.742,0.42±0.681,0.01±0.099,0.01±0.099,0.01±0.099,0.0±0.0,0.02±0.14,0.01±0.099
436.58±185.627,546.25±309.174,553.07±316.852,594.908±345.296,597.939±261.727,723.653±391.176,0.02±0.14,0.07±0.292,0.15±0.456,0.12±0.354,0.22±0.61,0.27±0.563,0.0±0.0,0.0±0.0,0.0±0.0,0.02±0.14,0.02±0.14,0.02±0.14
688.416±375.139,854.067±476.378,858.553±472.951,833.093±439.106,960.459±401.572,1020.141±496.627,0.03±0.298,0.03±0.222,0.07±0.292,0.06±0.237,0.08±0.306,0.04±0.196,0.11±0.313,0.25±0.433,0.15±0.357,0.25±0.433,0.26±0.439,0.29±0.454
366.4±117.076,398.85±130.027,420.19±181.005,435.81±152.367,445.38±149.391,459.9±151.995,0.03±0.171,0.04±0.196,0.04±0.196,0.08±0.306,0.1±0.387,0.16±0.393,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0
