421.447±220.493,506.571±258.771,492.362±273.05,547.59±333.946,637.524±423.326,640.143±373.351,0.09±0.349,0.14±0.425,0.24±0.512,0.26±0.658,0.34±0.696,0.52±0.889,0.06±0.237,0.16±0.367,0.06±0.237,0.22±0.414,0.37±0.483,0.44±0.496
431.592±226.541,536.146±305.506,530.242±338.211,579.388±360.652,671.618±405.845,652.939±361.285,0.04±0.242,0.11±0.343,0.11±0.371,0.1±0.387,0.28±0.708,0.4±1.149,0.02±0.14,0.11±0.313,0.05±0.218,0.2±0.4,0.32±0.466,0.51±0.5
421.62±223.71,489.701±260.422,483.579±277.489,569.329±370.92,627.375±395.3,603.421±314.826,0.06±0.237,0.1±0.332,0.21±0.535,0.29±0.621,0.33±0.617,0.47±0.806,0.0±0.0,0.13±0.336,0.05±0.218,0.21±0.407,0.36±0.48,0.43±0.495
438.876±228.414,561.571±372.344,486.899±301.745,503.915±316.59,576.704±384.667,497.173±282.606,0.18±0.433,0.4±0.6,0.45±0.817,0.67±1.096,0.53±0.741,0.81±0.945,0.11±0.313,0.23±0.421,0.21±0.407,0.29±0.454,0.46±0.498,0.48±0.5
473.934±260.173,572.055±374.559,502.507±290.475,579.735±386.313,578.26±337.946,631.612±365.242,0.07±0.324,0.17±0.567,0.16±0.441,0.22±0.756,0.23±0.598,0.32±0.646,0.09±0.286,0.27±0.444,0.25±0.433,0.32±0.466,0.5±0.5,0.51±0.5
1180.125±434.155,1189.25±430.846,1194.244±504.263,1236.867±395.188,1308.0±416.23,1310.081±463.68,0.38±0.675,0.58±0.874,0.57±0.886,0.77±0.882,0.75±1.081,0.8±1.02,0.52±0.5,0.56±0.496,0.59±0.492,0.55±0.497,0.6±0.49,0.63±0.483
564.876±296.59,636.625±341.509,738.418±408.501,814.476±432.504,866.093±423.508,929.387±478.944,0.05±0.26,0.1±0.332,0.12±0.354,0.27±0.786,0.24±0.695,0.29±0.637,0.03±0.171,0.12±0.325,0.09±0.286,0.18±0.384,0.25±0.433,0.38±0.485
568.88±278.832,657.329±358.122,599.857±305.567,792.913±416.861,800.945±412.986,803.711±434.508,0.08±0.306,0.16±0.463,0.14±0.448,0.26±0.673,0.34±0.667,0.37±0.702,0.17±0.376,0.21±0.407,0.23±0.421,0.31±0.462,0.27±0.444,0.55±0.497
552.438±298.213,631.438±333.525,743.533±427.972,784.84±403.931,891.692±426.36,999.214±490.064,0.05±0.26,0.1±0.332,0.14±0.375,0.26±0.702,0.24±0.568,0.31±0.868,0.04±0.196,0.11±0.313,0.08±0.271,0.25±0.433,0.22±0.414,0.44±0.496
554.762±250.134,682.925±390.433,642.568±374.14,840.359±415.722,802.157±423.352,844.706±452.823,0.08±0.306,0.12±0.382,0.14±0.425,0.23±0.646,0.22±0.54,0.3±0.624,0.16±0.367,0.2±0.4,0.19±0.392,0.22±0.414,0.3±0.458,0.49±0.5
