431.375±237.542,417.263±203.907,472.052±229.919,409.25±218.677,459.835±294.682,478.467±356.498,0.13±0.365,0.2±0.4,0.18±0.384,0.36±0.48,0.36±0.48,0.51±0.538,0.04±0.196,0.01±0.099,0.03±0.171,0.04±0.196,0.09±0.286,0.1±0.3
456.36±224.867,494.929±236.317,574.812±306.085,566.387±316.931,643.205±398.098,626.402±391.285,0.05±0.218,0.07±0.255,0.06±0.237,0.08±0.271,0.16±0.367,0.21±0.407,0.0±0.0,0.01±0.099,0.04±0.196,0.07±0.255,0.12±0.325,0.18±0.384
426.25±206.518,459.869±244.218,480.175±234.865,464.368±269.501,472.72±310.159,515.477±365.31,0.11±0.313,0.14±0.347,0.18±0.384,0.31±0.462,0.37±0.483,0.47±0.499,0.0±0.0,0.01±0.099,0.03±0.171,0.05±0.218,0.07±0.255,0.12±0.325
456.75±289.909,412.546±254.865,419.319±305.368,359.031±226.654,395.703±307.664,360.213±221.122,0.18±0.384,0.29±0.454,0.41±0.492,0.62±0.485,0.61±0.488,0.69±0.462,0.12±0.325,0.03±0.171,0.06±0.237,0.02±0.14,0.09±0.286,0.06±0.237
477.0±254.119,488.937±262.482,574.885±377.398,543.174±302.893,569.63±392.49,561.241±344.361,0.03±0.171,0.07±0.255,0.03±0.171,0.08±0.271,0.17±0.376,0.18±0.384,0.15±0.357,0.05±0.218,0.13±0.336,0.08±0.271,0.19±0.392,0.21±0.407
916.256±593.24,741.758±605.811,584.1±560.536,642.071±607.614,500.235±493.971,387.139±360.362,0.49±0.5,0.53±0.499,0.6±0.49,0.64±0.48,0.66±0.494,0.69±0.462,0.22±0.414,0.34±0.474,0.3±0.458,0.3±0.458,0.32±0.466,0.28±0.449
524.691±213.309,608.542±309.718,642.286±322.832,680.562±363.84,746.915±434.423,722.063±419.779,0.04±0.196,0.09±0.286,0.09±0.286,0.09±0.286,0.15±0.357,0.18±0.384,0.06±0.237,0.04±0.196,0.02±0.14,0.04±0.196,0.18±0.384,0.21±0.407
555.787±291.793,590.787±307.162,572.318±339.998,598.477±310.451,711.69±438.193,684.438±422.509,0.01±0.099,0.04±0.196,0.08±0.271,0.06±0.237,0.19±0.392,0.17±0.376,0.11±0.313,0.11±0.313,0.12±0.325,0.14±0.347,0.13±0.336,0.27±0.444
542.011±254.459,606.642±284.111,679.327±348.837,673.766±344.601,734.807±435.351,698.066±404.178,0.04±0.196,0.09±0.286,0.11±0.313,0.11±0.313,0.18±0.384,0.15±0.357,0.07±0.255,0.05±0.218,0.02±0.14,0.06±0.237,0.17±0.376,0.24±0.427
568.297±310.235,635.297±347.515,602.86±353.835,594.988±310.672,706.442±442.034,729.0±438.99,0.02±0.14,0.05±0.218,0.08±0.271,0.06±0.237,0.2±0.4,0.19±0.392,0.09±0.286,0.09±0.286,0.14±0.347,0.15±0.357,0.14±0.347,0.27±0.444
